"name","n","m","heuristic","non-permutation insertions [%]","makespan","time.µs."
"vrfl002",100,20,"F5",60,6406,594648
"vrfl002",100,20,"F5",70,6387,699614
"vrfl002",100,20,"F5",80,6447,663142
"vrfl002",100,20,"F5",90,6409,680016
"vrfl002",100,20,"F5",100,6409,681711
"vrfl002",100,20,"RN",0,6469,154746
"vrfl002",100,20,"RN",10,6461,280926
"vrfl002",100,20,"RN",20,6420,428190
"vrfl002",100,20,"RN",30,6443,536308
"vrfl002",100,20,"RN",40,6390,603714
"vrfl002",100,20,"RN",50,6414,631570
"vrfl002",100,20,"RN",60,6429,712570
"vrfl002",100,20,"RN",70,6443,701951
"vrfl002",100,20,"RN",80,6448,751917
"vrfl002",100,20,"RN",90,6428,725435
"vrfl002",100,20,"RN",100,6497,749562
"vrfl002",100,20,"Pa",0,6460,396634
"vrfl002",100,20,"Pa",10,6426,779424
"vrfl002",100,20,"Pa",20,6440,1047776
"vrfl002",100,20,"Pa",30,6404,1535885
"vrfl002",100,20,"Pa",40,6413,1425361
"vrfl002",100,20,"Pa",50,6444,2003086
"vrfl002",100,20,"Pa",60,6411,1971280
"vrfl002",100,20,"Pa",70,6411,1736162
"vrfl002",100,20,"Pa",80,6408,2005826
"vrfl002",100,20,"Pa",90,6398,2233111
"vrfl002",100,20,"Pa",100,6444,2201791
"vrfl002",100,20,"Pc",0,6473,124631
"vrfl002",100,20,"Pc",10,6470,163656
"vrfl002",100,20,"Pc",20,6444,336043
"vrfl002",100,20,"Pc",30,6459,417074
"vrfl002",100,20,"Pc",40,6435,446517
"vrfl002",100,20,"Pc",50,6453,571580
"vrfl002",100,20,"Pc",60,6479,577646
"vrfl002",100,20,"Pc",70,6446,633048
"vrfl002",100,20,"Pc",80,6473,578306
"vrfl002",100,20,"Pc",90,6435,567102
"vrfl002",100,20,"Pc",100,6400,623740
"vrfl002",100,20,"LJP",0,6612,1940
"vrfl003",100,20,"NEH",0,6521,945
"vrfl003",100,20,"NEH",10,6472,1516
"vrfl003",100,20,"NEH",20,6476,1913
"vrfl003",100,20,"NEH",30,6484,2546
"vrfl003",100,20,"NEH",40,6514,2573
"vrfl003",100,20,"NEH",50,6546,3292
"vrfl003",100,20,"NEH",60,6528,3444
"vrfl003",100,20,"NEH",70,6572,3896
"vrfl003",100,20,"NEH",80,6570,4608
"vrfl003",100,20,"NEH",90,6563,4306
"vrfl003",100,20,"NEH",100,6556,4290
"vrfl003",100,20,"BRN",0,6521,1035
"vrfl003",100,20,"BRN",10,6437,3762
"vrfl003",100,20,"BRN",20,6515,5244
"vrfl003",100,20,"BRN",30,6384,8812
"vrfl003",100,20,"BRN",40,6431,9804
"vrfl003",100,20,"BRN",50,6458,9899
"vrfl003",100,20,"BRN",60,6464,11086
"vrfl003",100,20,"BRN",70,6528,14636
"vrfl003",100,20,"BRN",80,6472,13479
"vrfl003",100,20,"BRN",90,6480,14505
"vrfl003",100,20,"BRN",100,6525,14272
"vrfl003",100,20,"FF",0,6573,1036
"vrfl003",100,20,"FF",10,6600,1499
"vrfl003",100,20,"FF",20,6593,2200
"vrfl003",100,20,"FF",30,6593,2400
"vrfl003",100,20,"FF",40,6514,2894
"vrfl003",100,20,"FF",50,6518,3051
"vrfl003",100,20,"FF",60,6509,3364
"vrfl003",100,20,"FF",70,6604,4272
"vrfl003",100,20,"FF",80,6554,4454
"vrfl003",100,20,"FF",90,6531,4545
"vrfl003",100,20,"FF",100,6571,4627
"vrfl003",100,20,"F5",0,6396,167886
"vrfl003",100,20,"F5",10,6358,266924
"vrfl003",100,20,"F5",20,6348,382290
"vrfl003",100,20,"F5",30,6355,516567
"vrfl003",100,20,"F5",40,6334,561730
"vrfl003",100,20,"F5",50,6395,687262
"vrfl003",100,20,"F5",60,6363,656729
"vrfl003",100,20,"F5",70,6340,733670
"vrfl003",100,20,"F5",80,6396,810800
"vrfl003",100,20,"F5",90,6332,675893
"vrfl003",100,20,"F5",100,6386,776126
"vrfl003",100,20,"RN",0,6358,155631
"vrfl003",100,20,"RN",10,6342,280972
"vrfl003",100,20,"RN",20,6349,421936
"vrfl003",100,20,"RN",30,6361,537994
"vrfl003",100,20,"RN",40,6368,583892
"vrfl003",100,20,"RN",50,6318,684191
"vrfl003",100,20,"RN",60,6343,718976
"vrfl003",100,20,"RN",70,6344,771144
"vrfl003",100,20,"RN",80,6342,775835
"vrfl003",100,20,"RN",90,6341,815034
"vrfl003",100,20,"RN",100,6334,779643
"vrfl003",100,20,"Pa",0,6350,379173
"vrfl003",100,20,"Pa",10,6320,722141
"vrfl003",100,20,"Pa",20,6279,1162597
"vrfl003",100,20,"Pa",30,6318,1389633
"vrfl003",100,20,"Pa",40,6330,1620436
"vrfl003",100,20,"Pa",50,6320,1830060
"vrfl003",100,20,"Pa",60,6294,2187037
"vrfl003",100,20,"Pa",70,6333,2011181
"vrfl003",100,20,"Pa",80,6314,2021598
"vrfl003",100,20,"Pa",90,6335,1898127
"vrfl003",100,20,"Pa",100,6297,2115922
"vrfl003",100,20,"Pc",0,6408,129425
"vrfl003",100,20,"Pc",10,6351,247915
"vrfl003",100,20,"Pc",20,6370,347772
"vrfl003",100,20,"Pc",30,6377,480899
"vrfl003",100,20,"Pc",40,6402,524530
"vrfl003",100,20,"Pc",50,6367,606663
"vrfl003",100,20,"Pc",60,6405,634399
"vrfl003",100,20,"Pc",70,6350,635143
"vrfl003",100,20,"Pc",80,6357,682044
"vrfl003",100,20,"Pc",90,6341,707418
"vrfl003",100,20,"Pc",100,6312,699331
"vrfl003",100,20,"LJP",0,6512,1948
"vrfl004",100,20,"NEH",0,6575,1000
"vrfl004",100,20,"NEH",10,6559,1506
"vrfl004",100,20,"NEH",20,6549,1962
"vrfl004",100,20,"NEH",30,6546,2481
"vrfl004",100,20,"NEH",40,6503,2586
"vrfl004",100,20,"NEH",50,6557,3096
"vrfl004",100,20,"NEH",60,6555,3516
"vrfl004",100,20,"NEH",70,6501,3718
"vrfl004",100,20,"NEH",80,6610,3993
"vrfl004",100,20,"NEH",90,6545,4964
"vrfl004",100,20,"NEH",100,6581,4984
"vrfl004",100,20,"BRN",0,6575,1093
"vrfl004",100,20,"BRN",10,6502,3388
"vrfl004",100,20,"BRN",20,6489,5771
"vrfl004",100,20,"BRN",30,6486,7794
"vrfl004",100,20,"BRN",40,6463,9976
"vrfl004",100,20,"BRN",50,6513,9680
"vrfl004",100,20,"BRN",60,6485,12839
"vrfl004",100,20,"BRN",70,6499,13840
"vrfl004",100,20,"BRN",80,6538,13657
"vrfl004",100,20,"BRN",90,6507,13939
"vrfl004",100,20,"BRN",100,6500,15219
"vrfl004",100,20,"FF",0,6510,1119
"vrfl004",100,20,"FF",10,6499,1422
"vrfl004",100,20,"FF",20,6511,2065
"vrfl004",100,20,"FF",30,6502,2735
"vrfl004",100,20,"FF",40,6596,2894
"vrfl004",100,20,"FF",50,6536,3058
"vrfl004",100,20,"FF",60,6540,3444
"vrfl004",100,20,"FF",70,6543,4452
"vrfl004",100,20,"FF",80,6576,4332
"vrfl004",100,20,"FF",90,6567,4724
"vrfl004",100,20,"FF",100,6595,4875
"vrfl004",100,20,"F5",0,6410,160573
"vrfl004",100,20,"F5",10,6341,273948
"vrfl004",100,20,"F5",20,6349,411537
"vrfl004",100,20,"F5",30,6396,423855
"vrfl004",100,20,"F5",40,6333,621832
"vrfl004",100,20,"F5",50,6369,630700
"vrfl004",100,20,"F5",60,6369,668736
"vrfl004",100,20,"F5",70,6378,662222
"vrfl004",100,20,"F5",80,6404,724674
"vrfl004",100,20,"F5",90,6365,695200
"vrfl004",100,20,"F5",100,6405,689459
"vrfl004",100,20,"RN",0,6344,155163
"vrfl004",100,20,"RN",10,6335,285097
"vrfl004",100,20,"RN",20,6363,415410
"vrfl004",100,20,"RN",30,6389,520914
